,endTime,artistName,trackName,msPlayed,full_track,segsPlayed,In Library,uri_tot
0,2021-02-07 20:35,U2,Where The Streets Have No Name - Remastered,142065,Where The Streets Have No Name - Remastered:U2,142.06,0,
1,2021-02-07 23:34,La Vela Puerca,Para No Verme Más,52816,Para No Verme Más:La Vela Puerca,52.82,1,56RHRxBAMWgGaHBCGxvVbW
2,2021-02-09 13:11,Intoxicados,Las cosas que no se tocan,214089,Las cosas que no se tocan:Intoxicados,214.09,1,5Y3T9zncw2XDAcn9pFliKT
3,2021-02-09 13:14,Almendra,Ana No Duerme,162076,Ana No Duerme:Almendra,162.08,1,2P2tl8JT698TJJ55ScKyku
4,2021-02-09 13:19,Guasones,Canción para un Amigo,306411,Canción para un Amigo:Guasones,306.41,1,3WLY1xa2Izcof8CNaFK8QS
5,2021-02-09 13:21,Charly García,Demoliendo Hoteles,135973,Demoliendo Hoteles:Charly García,135.97,1,29iIRrSuANyjnwag69PHOJ
6,2021-02-09 13:26,Gustavo Cordera,Soy Mi Soberano,322333,Soy Mi Soberano:Gustavo Cordera,322.33,1,5Kk32DOEMMGE9qc7Kglcqd
7,2021-02-09 13:31,Soda Stereo,Entre Canibales - MTV Unplugged,294146,Entre Canibales - MTV Unplugged:Soda Stereo,294.15,1,060aWWmC9CrLqbhzHQifQf
8,2021-02-09 13:37,Soda Stereo,Ella Uso Mi Cabeza Como Un Revolver - MTV Unplugged,364492,Ella Uso Mi Cabeza Como Un Revolver - MTV Unplugged:Soda Stereo,364.49,1,00TU7szqwBrxWTd9SO7ihK
9,2021-02-09 13:40,Charly García,Nos Siguen Pegando Abajo,206705,Nos Siguen Pegando Abajo:Charly García,206.7,1,6ssQWlLTRrPj3FQpiko9JB
15,2021-02-09 13:43,Pappo's Blues,Sucio y Desprolijo,186790,Sucio y Desprolijo:Pappo's Blues,186.79,1,3dHo3940xcnvQaci88jAgg
16,2021-02-09 13:47,Guasones,Espejo Roto,228810,Espejo Roto:Guasones,228.81,1,5OyMgMn1JEBbHvAdCvsT2b
17,2021-02-09 13:51,La Renga,Triste Canción De Amor,226128,Triste Canción De Amor:La Renga,226.13,1,7qrIjgzC3voW0YVKjany5V
18,2021-02-09 13:55,Divididos,Pepe Lui,244553,Pepe Lui:Divididos,244.55,0,
19,2021-02-09 13:59,Guasones,Como un Lobo - En Vivo Luna Park,262619,Como un Lobo - En Vivo Luna Park:Guasones,262.62,0,
20,2021-02-09 14:03,Pappo,Rock and Roll y Fiebre,231828,Rock and Roll y Fiebre:Pappo,231.83,1,6SsOtB41HPvZdEFjtLUhop
21,2021-02-09 15:07,Callejeros,Señales,234214,Señales:Callejeros,234.21,1,1ELykgy7CVsJtEuwUcvCfq
22,2021-02-09 16:40,Luis Alberto Spinetta,Bajan (En Vivo Estadio Vélez Sarsfield) (feat. Gustavo Cerati),435,Bajan (En Vivo Estadio Vélez Sarsfield) (feat. Gustavo Cerati):Luis Alberto Spinetta,0.44,0,
25,2021-02-09 16:44,Mercedes Sosa,Cuando Ya Me Empiece A Quedar Solo - En Directo,224584,Cuando Ya Me Empiece A Quedar Solo - En Directo:Mercedes Sosa,224.58,0,
