,track_uri,artist_uri,genres
1,56RHRxBAMWgGaHBCGxvVbW,6nVcjUJemqpJjc1WevwTvL,latin alternative
1,56RHRxBAMWgGaHBCGxvVbW,6nVcjUJemqpJjc1WevwTvL,latin rock
1,56RHRxBAMWgGaHBCGxvVbW,6nVcjUJemqpJjc1WevwTvL,rock en espanol
1,56RHRxBAMWgGaHBCGxvVbW,6nVcjUJemqpJjc1WevwTvL,rock uruguayo
2,5Y3T9zncw2XDAcn9pFliKT,4VgvR7eu3k2T20mo6mXhXF,argentine rock
2,5Y3T9zncw2XDAcn9pFliKT,4VgvR7eu3k2T20mo6mXhXF,latin alternative
2,5Y3T9zncw2XDAcn9pFliKT,4VgvR7eu3k2T20mo6mXhXF,latin rock
2,5Y3T9zncw2XDAcn9pFliKT,4VgvR7eu3k2T20mo6mXhXF,rock en espanol
2,5Y3T9zncw2XDAcn9pFliKT,4VgvR7eu3k2T20mo6mXhXF,rock nacional
2,5Y3T9zncw2XDAcn9pFliKT,4VgvR7eu3k2T20mo6mXhXF,ska argentino
3,2P2tl8JT698TJJ55ScKyku,7x2a9uyqlWbE9LwcoQWDTo,argentine rock
3,2P2tl8JT698TJJ55ScKyku,7x2a9uyqlWbE9LwcoQWDTo,latin rock
3,2P2tl8JT698TJJ55ScKyku,7x2a9uyqlWbE9LwcoQWDTo,rock en espanol
3,2P2tl8JT698TJJ55ScKyku,7x2a9uyqlWbE9LwcoQWDTo,rock nacional
4,3WLY1xa2Izcof8CNaFK8QS,2wjmZuSHtRx96Qxb8HiP2o,argentine rock
4,3WLY1xa2Izcof8CNaFK8QS,2wjmZuSHtRx96Qxb8HiP2o,latin alternative
4,3WLY1xa2Izcof8CNaFK8QS,2wjmZuSHtRx96Qxb8HiP2o,latin rock
4,3WLY1xa2Izcof8CNaFK8QS,2wjmZuSHtRx96Qxb8HiP2o,rock en espanol
4,3WLY1xa2Izcof8CNaFK8QS,2wjmZuSHtRx96Qxb8HiP2o,rock nacional
5,29iIRrSuANyjnwag69PHOJ,3jO7X5KupvwmWTHGtHgcgo,argentine rock
5,29iIRrSuANyjnwag69PHOJ,3jO7X5KupvwmWTHGtHgcgo,latin alternative
5,29iIRrSuANyjnwag69PHOJ,3jO7X5KupvwmWTHGtHgcgo,latin rock
5,29iIRrSuANyjnwag69PHOJ,3jO7X5KupvwmWTHGtHgcgo,post-punk argentina
5,29iIRrSuANyjnwag69PHOJ,3jO7X5KupvwmWTHGtHgcgo,rock en espanol
5,29iIRrSuANyjnwag69PHOJ,3jO7X5KupvwmWTHGtHgcgo,rock nacional
6,5Kk32DOEMMGE9qc7Kglcqd,3dOfwznaY7FEKpF8aw1q9i,argentine rock
6,5Kk32DOEMMGE9qc7Kglcqd,3dOfwznaY7FEKpF8aw1q9i,latin alternative
6,5Kk32DOEMMGE9qc7Kglcqd,3dOfwznaY7FEKpF8aw1q9i,rock en espanol
6,5Kk32DOEMMGE9qc7Kglcqd,3dOfwznaY7FEKpF8aw1q9i,rock nacional
7,060aWWmC9CrLqbhzHQifQf,7An4yvF7hDYDolN4m5zKBp,argentine rock
7,060aWWmC9CrLqbhzHQifQf,7An4yvF7hDYDolN4m5zKBp,latin alternative
7,060aWWmC9CrLqbhzHQifQf,7An4yvF7hDYDolN4m5zKBp,latin rock
7,060aWWmC9CrLqbhzHQifQf,7An4yvF7hDYDolN4m5zKBp,post-punk argentina
7,060aWWmC9CrLqbhzHQifQf,7An4yvF7hDYDolN4m5zKBp,rock en espanol
7,060aWWmC9CrLqbhzHQifQf,7An4yvF7hDYDolN4m5zKBp,ska argentino
8,00TU7szqwBrxWTd9SO7ihK,7An4yvF7hDYDolN4m5zKBp,argentine rock
8,00TU7szqwBrxWTd9SO7ihK,7An4yvF7hDYDolN4m5zKBp,latin alternative
8,00TU7szqwBrxWTd9SO7ihK,7An4yvF7hDYDolN4m5zKBp,latin rock
8,00TU7szqwBrxWTd9SO7ihK,7An4yvF7hDYDolN4m5zKBp,post-punk argentina
8,00TU7szqwBrxWTd9SO7ihK,7An4yvF7hDYDolN4m5zKBp,rock en espanol
8,00TU7szqwBrxWTd9SO7ihK,7An4yvF7hDYDolN4m5zKBp,ska argentino
9,6ssQWlLTRrPj3FQpiko9JB,3jO7X5KupvwmWTHGtHgcgo,argentine rock
9,6ssQWlLTRrPj3FQpiko9JB,3jO7X5KupvwmWTHGtHgcgo,latin alternative
9,6ssQWlLTRrPj3FQpiko9JB,3jO7X5KupvwmWTHGtHgcgo,latin rock
9,6ssQWlLTRrPj3FQpiko9JB,3jO7X5KupvwmWTHGtHgcgo,post-punk argentina
9,6ssQWlLTRrPj3FQpiko9JB,3jO7X5KupvwmWTHGtHgcgo,rock en espanol
9,6ssQWlLTRrPj3FQpiko9JB,3jO7X5KupvwmWTHGtHgcgo,rock nacional
10,4VikOud5ZmdmHH6h7uQeDB,3jO7X5KupvwmWTHGtHgcgo,argentine rock
10,4VikOud5ZmdmHH6h7uQeDB,3jO7X5KupvwmWTHGtHgcgo,latin alternative
10,4VikOud5ZmdmHH6h7uQeDB,3jO7X5KupvwmWTHGtHgcgo,latin rock
10,4VikOud5ZmdmHH6h7uQeDB,3jO7X5KupvwmWTHGtHgcgo,post-punk argentina
10,4VikOud5ZmdmHH6h7uQeDB,3jO7X5KupvwmWTHGtHgcgo,rock en espanol
10,4VikOud5ZmdmHH6h7uQeDB,3jO7X5KupvwmWTHGtHgcgo,rock nacional
11,3dHo3940xcnvQaci88jAgg,59dLJG3ZVwkMZLFKByQCJB,argentine rock
11,3dHo3940xcnvQaci88jAgg,59dLJG3ZVwkMZLFKByQCJB,blues latinoamericano
11,3dHo3940xcnvQaci88jAgg,59dLJG3ZVwkMZLFKByQCJB,latin alternative
11,3dHo3940xcnvQaci88jAgg,59dLJG3ZVwkMZLFKByQCJB,latin metal
11,3dHo3940xcnvQaci88jAgg,59dLJG3ZVwkMZLFKByQCJB,latin rock
11,3dHo3940xcnvQaci88jAgg,59dLJG3ZVwkMZLFKByQCJB,rock en espanol
11,3dHo3940xcnvQaci88jAgg,59dLJG3ZVwkMZLFKByQCJB,rock nacional
12,5OyMgMn1JEBbHvAdCvsT2b,2wjmZuSHtRx96Qxb8HiP2o,argentine rock
12,5OyMgMn1JEBbHvAdCvsT2b,2wjmZuSHtRx96Qxb8HiP2o,latin alternative
12,5OyMgMn1JEBbHvAdCvsT2b,2wjmZuSHtRx96Qxb8HiP2o,latin rock
12,5OyMgMn1JEBbHvAdCvsT2b,2wjmZuSHtRx96Qxb8HiP2o,rock en espanol
